PK;Tool;Name;Short;Full;Type;Developer;Institute;Location;Earliest Mention;System;Related To;Notes;
63;ARRAS;ARRAS;ARRAS;;concordance;;;;1987;;;Mentioned in brief without further supporting information.;
64;"PL/C; Programming Language Cornell";PLC;PL/C;Programming Language Cornell;"programming language; text analysis";;Cornell University;USA;1985;;;"A programming language suitable for text analysis and subject of an instructional book, ""Programming for the Liberal Arts: An Introduction to PL/C""";
65;FINNMORF;FINNMORF;FINNMORF;finnmorf;lexicographer;Eugene Holman;University of Helsinki;Finland;1988;;;A lexicography tool for Finnish.;
66;Micro-OCP;Micro_OCP;Micro-OCP;;concordance;;Oxford University;UK;1989;;58;A microcomputer implementation of and expansion on the Oxford Concordance Program.;
67;"TEXTPACK; TEXTPACK V";TEXTPACK;TEXTPACK;;text analysis;"Peter Mohler; Cornelia Zuell; Juergen Hoehe; Hans-Dieter Klingemann; Klaus Radermacher";Zentrum fuer Umfragen, Methoden und Analysen (ZUMA);Germany;1970?;;9;A longstanding system of interdependent text analysis utilities. Adapted for microcomputers in the late 1980s.;
68;URICA!;URICA;URICA;urica;"collation; comparator";"Robert L. Cannon; Robert L. Oakman";University of South Carolina;USA;1984;;;Developed in Turbo Pascal for PCs and compatibles. ;
69;"SPITBOL; SPITBOL-386";SPITBOL;SPITBOL;;"programming language; string processing";;;;1990;;;A programming language used in the humanities and compared favourably to SNOBOL;
70;TACT;TACT;TACT;;text analysis;John Bradley;University of Toronto;Canada;1986;;;Text analysis tool.;
71;ProIcon;ProIcon;ProIcon;;"programming language; text analysis";;Catspaw Inc.;USA;1990;;60;A programming language for Macintosh with inbuilt text analysis functions. An implementation and update to Icon. ;
72;Prolog;Prolog;Prolog;;"programming language; natural language processing";;;;;;;Subject of a manual on using Prolog for computational linguistics;
73;LISP;LISP;LISP;lisp;"programming language; natural language processing";;;;;;;Subject of a manual on using LISP for computational linguistics;
74;CLAWS;CLAWS;CLAWS;;"disambiguation; parts-of-speech tagging";UCREL;University of Lancashire;UK;1991;;;Part of Speech tagging tool developed by UCREL at Lancashire Univeristy.;
75;"DISCAN; DiscAn";DISCAN;DISCAN;DiscAn;content analysis;"NCI, Inc; P. Maranda";Universite Laval;Canada;1991;;;A content analysis program originally developed for mainframe computers from the Department of Anthropology at Universite Laval in Quebec.;
76;"STRAP; STRAP 2.0";STRAP;STRAP;;structural analysis;Teresa Snelgrove;Centre for Computing in the Humanities, University of Toronto;Canada;1991;;;"A suite for structural analysis developed to work with humanities texts. STRAP stands for ""structural analysis programs.""";
77;VINCI;VINCI;VINCI;;"natural language generation; linguistic modelling";"Michael Levison; Gregory Lessard";Queen's University at Kingston;Canada;1992;;;Describes a tool developed to take a description of a language and generate sentences from that description.;
78;DYNAKWIC;DYNAKWIC;DYNAKWIC;;key word in context;;;;;;;Mentioned in brief without further supporting information.;
